,tweet
24, nextEra21 그래서 털었음 검찰이 잘털어서 전국민 특검여론이 70 임 장모 지금 수사중이고 누구처럼 유죄선고받은적도 아니고 윤석열 주변인물일뿐 윤석열 본인잘못도 아님 꼽으면 특검하던지 윤석열 안철수가 쌍특검하자고 하자나 
29, 안철수 쌍특검 시간 끄는 자가 죄인 안철수 소통 라이브 50화 11월 22일 LIVE uI0yUWIV6h 8 03에 시작됩니다
60, 안철수 소통 라이브 50화 쌍특검 시간 끄는 자가 죄인 11월 22일 LIVE 18ZeN9EkUO
67, 안철수 쌍특검 시간 끄는 자가 죄인 안철수 소통 라이브 50화 11월 22일 LIVE 2WnERU27qM via YouTube
86, 안철수 쌍특검 시간 끄는 자가 죄인 안철수 소통 라이브 50화 11월 22일 LIVE yvrYG7MIqt YouTube
95, 안철수 쌍특검 시간 끄는 자가 죄인 안철수 소통 라이브 50화 11월 22일 LIVE pokvIJDgqh 출처 YouTube
122,제3지대 단일화는 반대하지만 안철수후보가 제안하는 쌍특검은 환영합니다 lt TV조선 패널 gt 정의당과 단일화보다는 정책연대를 하자는 것입니다 1qevceTXtM
159,안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 제안 VNtwPEMOJb
209,안철수의 정책연대 제안에 심상정은 조건없이 만나자고 화답 양정당이 서로 싸우면서 밀어주고 끌어주며 너한번 나한번하는 양당정치를 이번에는 바꿔야 한다 쌍특검 연대부터 출발합시다 90iR16sYP9
258,안철수 대장동 고발사주 쌍특검 제안 거부하는 정당이 범인 일요신문 Y8L2S9enhw
417, 안철수 lt 쌍 특검법안 촉구 및 중재안 제안 gt 고발 사주 관련 특검법 제정과 특별검사 추천은 민주당에 위임한다 대장동 게이트 관련 특검법 제정과 특별검사 추천은 국민의힘에 위임한다 해당 특검법안 평가는 국민의당과 정의당에 맡긴다 평가한 법안은 수정한다 hVeOh87K8D
419,쌍특검 받아라 좌파 우파 지겹다 안철수 과거 파먹는 정치세력과 맞설 것 3jmfsJsHn3
436, arpeggioH1 escrimeurk 보니께 찢재면은 특검 수용하고 국회에서 민죽당이 개기는 걸로 이중플레이로 작당 한 거 같더만여 암튼 안철수 대표가 못 빠져나갈 제안을 했응 게 어케 되나 흥미진진이구만여 이것도 무시할랑가 윤석열하고 국힘이 받으면 완존 민죽당만 새되는 건데 우짤랑가 시간은 자꾸 흘러가고 
449, 대한장애인스포츠뉴스 안철수 李 尹 쌍특검 받아라 FD8iYuork5
455,안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 제안 FPRxoci4LX
473,이재명 윤석연 둘 다 특검받아라 안철수 여야 쌍 특검 법안 논의 착수해야 출처 한국경제 bvmmAIsYXP
487,정쟁만 하지말고 한치 의혹도 없이 쌍특검 받아라 부패에는 여야가 없다 안철수 대선 후보 李 尹 쌍특검 가자 bX5ndSQsYy
488,점지사 윤부적 쌍특검 받아라 안철수 이재명 윤석열 동시특검 받으라 정의당 국민의당이 평가 pt0D7ewblQ
528,안철수 이재명 윤석열 쌍특검 받아라 시간 끄는 자가 죄인 출처 노컷뉴스 네이버 뉴스 z4YmGxCsg9
540,안철수 李 尹 쌍특검 논의 착수해야 출처 시사저널 네이버 뉴스 OJ8bUcgHKd
563,안철수 대장동 특검은 국힘 고발사주는 민주당 추천 오랜만에 괜찮은 제안입니다 GCdJpEuUsu
564,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 출처 머니투데이 네이버 뉴스 r5ZUZvMP1P
606,국민의힘 대장동 특검 촉구 안철수 고발사주도 함께 url amFYBmsPTL
607,안철수 대장동 특검은 국힘 고발사주는 민주당 추천 VzK7GiwZYV
615,안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 출처 조선비즈 네이버 뉴스 fKTojdi4TB 그렇죠 본인 들은 특검 요구하고 있지만 소속 정당들은 특검 끼미도 안보이며 말장난 이나 하고 있는거지 그런데 특검을 요구하는 윤석열 이재명도 이럴줄 알고 특검
619,안철수 여야 특검법안 수용 촉구 공정여부는 비교섭단체가 평가 출처 전자신문 네이버 뉴스 G9zTcJ6LaM 안철수 제안과 요구가 논리적이고 합리성을 가지고 있습니다 두 거대 여 야 정당이 자신들 당리 논리로 특검을 안받거나 받는 다면 공정 여부가 문제될수 있으니 
622, Sherpa80 공수처를 못믿는다고 다들 외쳤는데 우리편에 이로운 결론은 믿는다면 그건 아니지싶 특검이 국민에게 확신줄수 있는 방법이죠 오늘 안철수기자회견에 12월안에 특검끝내는 여러 방안 이야기했습니다 박그네 특검도 이명박특검도 속전속결했듯 이것도 가능하다 봅니다 
624,안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 압박 출처 데일리안 네이버 뉴스 81ea8pjLje
625, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 다음 뉴스 5wunX8Faua
626,안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 다음 뉴스 YAUkQAb0sp
632,쌍특검 거부하는 놈이 범인이다 안철수 후보 대장동 고발사주 의혹에 대한 동시 특검 실시 주장 출처 매일신문 네이버 뉴스 j2kxMgmLHn
633,국민의당 안철수 대선후보가 이재명 윤석열 양당 대선 후보에 대해 상대당에게 특검법을 맡기고 해당 특검법이 합리적이고 공정한지는 국민의당과 정의당이 맡겠다며 중재안을 내놓았다 안철수 쌍특검 대장동 고발사주 FGFdD4qt04
637,안철수 이재명 윤석열 쌍특검 받아라 시간 끄는 자가 죄인 출처 노컷뉴스 네이버 뉴스 5W9KAX1BLL
643,안철수 대장동 고발사주 특검 제안 거부하는 정당이 범인 출처 서울신문 네이버 뉴스 WQg6f6mZxj
644,안철수 여야 쌍 특검 법안 논의 착수해야 촉구 다음 뉴스 pem7l8qsRM
649,안철수 대통령 후보 기자회견 안철수 안철수 대통령 후보 기자회견 쌍특검법안 촉구 및 중재안 제안 LIVE jqFN0tgmIN
653,안철수 후보는 신속한 특검법 통과를 위해 윤 후보를 겨냥한 고발사주 의혹 관련 특검법 제정과 특검 추천은 민주당에 위임하고 이 후보를 겨냥한 대장동 개발비리 의혹의 특검법 제정과 특검 추천은 BUdjpLvojT
654,안철수 쌍 특검법안 촉구 및 중재안 제안 기자회견 안철수 양당 떳떳하다면 반드시 제안을 받을 것 국민들께서 지켜볼 것 안철수 국민의당 대선 후보가 21년 11월 21일 국회에서 쌍 특검법안 촉구 및중재안 제안 기자회견 VoNB0mtYHk
670,안철수후보 시간을 끄는 자가 죄인이다 빠르게 특검 시작하는 것이 중요 중재안 尹관련 특검은 민주당이 李관련 특검은 국민의힘이 특검법 합리적인지는 국민의당 정의당이 판단 qtmeoT3PzH
678,안철수 심상정 후보 및 정의당과 함께 풀어갈 수 있기를 기대합니다 아직 협의가 끝난 게 아닌데여 암튼 두 정당 중 먼저 이 제안을 거부하거나 토를 달고 수작을 걸어 오는 것들이 범인이겄죠 크게 기대는 안 합니다 두 당이 특검을 가지고 싸우는데 2 2로 싸움이 확대된다는 걸 뿐 
681,안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 압박 CKwqcqrdRa
682, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 HHhlAbp7DX 대장동 국민의힘 고발사주 민주당에 권한 법안 합리성 공정성 국민의당 정의당이 판단
698, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 9EE1dkGBOi
701,안철수 쌍 특검 촉구 기자회견 zcAX3OaU6F
707,거대양당 십알단 드루킹 탁탁 털어도 먼지 하나 없는자 쌍특검 받아라 쌍적폐들아 대장동 고발사주 쌍특검 제안 압박 나선 안철수 출처 국민일보 네이버 뉴스 A2MwhMWbM3
709,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 g31ZtcW2UD
710,안철수가 한방에 정리 해줬네 안철수 대장동 고발사주 특검 제안 거부하는 정당이 범인 출처 서울신문 네이버 뉴스 aa71q41FXy
711,촬스야 안렙 주가 많이 떨어졌니 너는 이제 잊혀진 이름이야 걍 빠져있어라 안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 C2Gjs56zZV
712,안철수 여야 특검법안 수용 촉구 공정여부는 비교섭단체가 평가 전자신문 b4JR3shlDA
713,안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 머니투데이 4QpuYikH6x
714,국민의힘 대장동 특검 촉구 안철수 고발사주도 함께 다음 뉴스 iF6vHxzM3m
715,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 98pODm9Acm
718,안철수 대장동 특검은 국힘 고발사주는 민주당 추천 다음 뉴스 jkpLdKgHfa
720, 쌩까지 말고 당장 실시해라 쫄았냐 한번은 털고 가야지 안철수 대장동 개발 고발사주 의혹 쌍특검 제안 출처 KBS 네이버 뉴스 RYV1rhSZTx
723,안철수 대장동 고발사주 의혹에 쌍특검 제안 거부하면 범인 출처 조선비즈 네이버 뉴스 UgpjkxBZ3Z
725,안철수 여야 특검법안 수용 촉구 공정여부는 비교섭단체가 평가 출처 전자신문 네이버 뉴스 kl2d2XRsuD
745,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 wEHz5rU9Te 기득권 정당 두 후보 대장동 비리 몸통 고발사주 배후 의혹 갇혀 떳떳하다면 제안 못받을 이유 없어 제안 거부하는 정당이 범인 
748,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 5BfwVDvtuH
756,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 1YewaJSius 하나의 제안이니 유불리 따지지 말고 신속히 해봄이 어떨까 
758,안철수 대장동 고발사주 쌍특검 하자 비교섭단체 중재안도 제시 출처 헤럴드경제 네이버 뉴스 JcxhjrdCsM 시간 끄는 자가 죄인 늦어도 연말 전 수사 착수해야 특검 추천 고발사주는 민주당이 대장동은 국힘이 특검법안 평가 국민의당과 정의당에 맡겨주면 된다 
764,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 RiCWVDZgdm 정치 쓰레기 중간에서 삥이나 뜯으려는 얄팍한 속셈 누가 모를줄 아냐 
768, 안철수 안철수 대통령 후보 기자회견 쌍 특검법안 촉구 및 중재안 제안 LIVE 5nJRnh4O0A YouTube
769,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 출처 뉴스1 네이버 뉴스 yVauviq1iX 기득권 정당 두 후보 대장동 비리 몸통 고발사주 배후 의혹 갇혀 떳떳하다면 제안 못받을 이유 없어 제안 거부하는 정당이 범인 
771,안철수 여야 쌍특검 법안 논의 착수하라 4정당 참여하는 중재안 제안 출처 아시아경제 네이버 뉴스 AMz4N6Zl9S 고발사주는 민주당이 대장동은 국민의힘이 제안을 거부하는 정당이 범인 
772, jsk437 쌍특검은 윤이 먼저 하자고 했음 안철수도 윤이 제안했다는 점을 분명히 했고 
774,역시 안철수 다시한번 외쳐보자 대신할수 없는 미래 설계자 안철수 쌍 특검법안 중재안 제안하는 안철수 대선후보 newspim FbREzIJuW4
776,당당한자가 대통령 당선되는 나라다 안철수 시간 끄는 자가 죄인 이재명 윤석열 쌍특검 압박 출처 더팩트 네이버 뉴스 Fe3NGw2Bpv
777, 양당 기득권 독재 종식 시키는데 못할게 뭐있냐 진정한 다당제는 숙명이다 중도당이 못할게 뭐있냐 솔직히 골수들 빼고는 가능한거 아닌가 제3지대 단일화 물꼬 틀까 안철수 심상정에 특검 공조 제안 이투데이 lsg0bMknYm
781, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 AWtkoOo6DF
782, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 BOgec1N7sG
784,안철수 여야 쌍특검 법안 논의 착수하라 4정당 참여하는 중재안 제안 출처 아시아경제 네이버 뉴스 JY18FOLYUe
785,당당하면 징징 거리지 말고 즉각 쌍특검 받아라 찌질이들아 안철수 대장동 고발사주 쌍특검 제안 시간끄는자 죄인 출처 MBC 네이버 뉴스 R1RBGOL0N1
787, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 Jxa7xyfCkl
792,안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 wRyM01hdg8
794, 국민의힘 내부에서 뇌물수수혐의가 몇명이나 있는데 거기에 특검을 맏기지는 마라토너 안철수 달리다뇌가굳었수 봐주수 안철수 李 尹에 제안 민주는 고발사주 국힘은 대장동 특검 추천 다음 뉴스 P78C0PsCfj
795, 안철수 후보는 대선후보들이 특검 수용에 찬성했으나 민주당과 국민의힘이 협의에 나서지 않는 것을 두고 시간을 질질 끄는 이중 플레이 후보는 착한 역 정당은 나쁜 역을 맡는 전형적인 굿 캅 배드 캅 전략 이라고 싸잡아 비판했다 cSqxuPsDUF
797, 쌍특검 촉구 안철수 이재명 윤석열 시간 끄는 자가 죄인 출처 한국일보 네이버 뉴스 EMk19hDfhV JywHPpUoH9
798,안철수 비교섭단체 심판론 꺼내들며 여야에 쌍특검 압박 ZBGLOG0EJm
800,손꾸락지 뿌러지겠다 메타뻘스 그만하고 전쟁 합시다 안철수 尹 李 동시특검 촉구 특검법 국민의당 정의당이 평가 출처 머니투데이 네이버 뉴스 QW9jqoq43D
802, 국민이 우려하는 것은 후보는 특검을 수용하겠다고 해놓고 소속 정당은 특검 수사대상과 범위 특별검사 추천방식을 놓고 지루한 줄다리기로 시간을 질질 끄는 이중 플레이다 이는 후보는 착한 역 정당은 나쁜 역을 맡는 전형적인 굿_캅 배드_캅 전략이다 안철수 20211121 ZUaa8FFe1D
804,깨끗한자 똑똑한자 강철수 안철수 쌍 특검법안 촉구 및 중재안 제안 출처 데일리안 네이버 뉴스 oIfQ4pVMO6
805,쌍특검 받아라 도둑놈들아 안철수 여야 특검법 제정 검사 추천 서로 맡겨야 출처 YTN 네이버 뉴스 D2pZiBG8jY
806,안철수 대장동 고발사주 쌍특검 하자 비교섭단체 중재안도 제시 출처 헤럴드경제 네이버 뉴스 wqqB5yMYGX
